Number of Protein Interactions,count
1,5548
2,3582
3,3276
4,1710
5,1148
6,886
7,717
8,579
9,470
10,416
11,356
12,340
13,288
14,286
15,239
16,224
17,205
18,183
20,182
19,179
21,152
23,141
22,139
24,109
25,108
28,90
29,89
26,87
27,86
30,86
32,81
31,78
35,65
34,62
33,61
36,60
37,60
38,59
44,49
40,48
39,47
42,47
41,42
52,40
43,39
48,34
49,34
45,34
50,33
51,33
54,33
46,31
47,30
65,29
57,27
58,27
56,26
61,26
60,26
70,24
53,23
62,22
66,22
55,21
59,20
69,19
64,19
84,18
67,17
78,16
63,15
83,15
75,14
79,13
72,13
73,13
101,13
76,13
77,12
80,12
85,12
71,11
86,10
68,10
102,9
87,9
92,9
91,9
97,9
82,8
89,8
90,7
120,7
96,7
81,7
119,7
99,7
74,7
130,6
98,6
117,6
109,6
110,5
108,5
94,5
121,5
127,5
122,5
112,4
141,4
111,4
146,4
106,4
128,4
136,4
100,4
105,4
148,4
175,4
133,4
118,4
172,4
95,4
88,4
132,4
93,4
126,3
107,3
162,3
104,3
189,3
114,3
140,3
143,3
208,3
149,3
135,3
151,3
180,3
174,3
173,3
131,3
144,3
193,3
182,3
169,2
138,2
156,2
116,2
139,2
134,2
154,2
124,2
352,2
103,2
236,2
125,2
183,2
190,2
195,2
267,2
197,2
220,2
217,2
177,2
179,2
205,2
201,2
215,2
145,1
123,1
1984,1
129,1
137,1
142,1
157,1
150,1
152,1
153,1
155,1
164,1
158,1
159,1
160,1
163,1
214,1
165,1
187,1
228,1
168,1
171,1
176,1
185,1
186,1
166,1
192,1
191,1
204,1
210,1
219,1
223,1
224,1
161,1
247,1
231,1
502,1
418,1
272,1
312,1
237,1
246,1
428,1
266,1
308,1
627,1
256,1
263,1
271,1
713,1
260,1
234,1
297,1
178,1
387,1
341,1
274,1
278,1
407,1
394,1
392,1
362,1
284,1
309,1
279,1
326,1
280,1
318,1
281,1
6753,1
